Algorithm,n_runs,t_crit_0.975_df4,Latency_mean_ms,Latency_std_ms,Latency_CI95_low_ms,Latency_CI95_high_ms,Failure_mean_pct,Failure_std_pct,Failure_CI95_low_pct,Failure_CI95_high_pct,TrustViolation_mean_pct,TrustViolation_std_pct,TrustViolation_CI95_low_pct,TrustViolation_CI95_high_pct
TALOFNS,5,2.776,3.87,0.08,3.77,3.97,2.5,0.18,2.28,2.72,0.0,0.0,0.0,0.0
DRLSelector (DQN),5,2.776,4.68,0.12,4.53,4.83,2.9,0.21,2.64,3.16,0.6,0.09,0.49,0.71
AHP-TOPSIS,5,2.776,5.21,0.11,5.07,5.35,3.8,0.24,3.5,4.1,1.0,0.12,0.85,1.15
QoS-Aware,5,2.776,5.45,0.13,5.29,5.61,4.2,0.26,3.88,4.52,2.0,0.14,1.83,2.17
Min-Min,5,2.776,5.79,0.14,5.62,5.96,7.6,0.32,7.2,8.0,7.4,0.33,6.99,7.81
Fuzzy Logic,5,2.776,6.51,0.17,6.3,6.72,6.2,0.29,5.84,6.56,0.7,0.11,0.56,0.84
Reputation-Based,5,2.776,6.88,0.15,6.69,7.07,6.4,0.31,6.02,6.78,1.2,0.15,1.01,1.39
Weighted Round Robin,5,2.776,6.84,0.18,6.62,7.06,6.7,0.34,6.28,7.12,9.1,0.36,8.65,9.55
Proximity-Based,5,2.776,6.21,0.16,6.01,6.41,9.1,0.38,8.63,9.57,8.9,0.34,8.48,9.32
Round Robin,5,2.776,7.13,0.19,6.89,7.37,8.5,0.35,8.07,8.93,13.5,0.44,12.95,14.05
First-Fit,5,2.776,7.42,0.22,7.15,7.69,11.2,0.42,10.68,11.72,14.8,0.48,14.21,15.39
Random,5,2.776,7.98,0.25,7.67,8.29,12.6,0.47,12.02,13.18,17.3,0.52,16.65,17.95
